,panel_net,mom_slow_net,mom_fast_net,panel_churn,mom_slow_churn,mom_fast_churn,hedge_net,w_panel,w_mom_slow,w_mom_fast
2024-01-03,-0.02741546304397402,-0.0037815183742080003,-0.01720595807787843,0.0,0.0,0.0,-0.018954600635008617,0.5,0.25,0.25
2024-01-04,-0.004825901863910668,0.012476285633481613,0.00396692776873405,0.0,0.0,2.0,0.0017008510423538886,0.5,0.25035239130883535,0.2496476086911647
2024-01-05,0.002580500750843188,0.009977021624550497,0.0034255296549147163,0.0,0.0,0.0,0.004644660289957914,0.5,0.2505757611682192,0.24942423883178094
2024-02-02,0.011060042658733803,0.08433700195892646,0.010499680839934541,3.0,0.0,0.0,0.029294402898055065,0.5,0.25074773662067096,0.24925226337932913
2024-02-05,-0.04933533512566705,-0.009168359013630445,0.008125342230855667,0.0,0.0,1.0,-0.024959283957954367,0.5,0.2517845919153361,0.248215408084664
2024-02-06,0.07171822019539453,-0.0037738180216640624,-0.004338078130603458,1.0,0.0,1.0,0.033831886892346966,0.5,0.2513306500046413,0.24866934999535886
2024-02-07,0.03316679752632368,0.028533807728370258,0.024660362996475005,0.0,1.0,1.0,0.029905767145714145,0.5028378275255018,0.24991891127060442,0.2472432612038938
2024-02-08,0.03170509901514925,0.003216864852224721,0.005068948601671213,0.0,0.0,2.0,0.018009046935393205,0.5031821570304049,0.2498468476150124,0.24697099535458264
2024-02-09,0.015457692650482878,0.020586896912095476,0.011199299457208657,1.0,0.0,1.0,0.01568638696125759,0.5046293594971604,0.24907089227848506,0.2462997482243546
2024-02-12,-0.01972540924305921,-0.010450956362494232,-0.017771752278648318,1.0,0.0,1.0,-0.016932303190230633,0.5046050028195191,0.24932728454087366,0.24606771263960706
2024-02-13,-0.015828414880629804,-0.005987003792369383,-0.022434348474764366,1.0,1.0,1.0,-0.014996561281984181,0.5043089501795376,0.24966679037023123,0.2460242594502312
2024-02-14,0.013992760115497476,0.02602610498724811,0.016543836363763186,1.0,0.0,2.0,0.017629420647717445,0.5042204799378579,0.2501394200474728,0.24564010001466915
2024-02-15,0.008388653540993904,-0.004056459693979979,0.0067004869035411545,1.0,0.0,0.0,0.004855561123733547,0.5038352810858998,0.2505807449792126,0.24558397393488765
2024-02-16,0.018987648298892695,-0.007559087271663914,-0.001627169928424858,1.0,1.0,0.0,0.007283361607016187,0.504208939721511,0.2501120665812062,0.24567899369728263
2024-02-20,-0.04505128024238262,-0.010190986110657272,-0.006453330263691437,0.0,1.0,1.0,-0.026894513605216722,0.5054481580978298,0.2493329125527093,0.2452189293494608
2024-02-21,-0.019829535804957204,-0.052087400667646125,-0.05737345014939162,0.0,2.0,2.0,-0.037146699596360966,0.5035208335456748,0.2502071750030015,0.24627199145132372
2024-02-22,0.07061640666337987,0.18901430707363306,0.13379349763808,0.0,0.0,0.0,0.11565502026881508,0.5051046637464927,0.24940898304046416,0.24548635321304318
2024-02-23,-0.028277881814170753,-0.04197369469016443,-0.03632063654120247,0.0,1.0,0.0,-0.033668127103210814,0.5051046637464927,0.24940898304046416,0.24548635321304318
