seed,ticker,label
0,AAPL,industrial
0,ABBV,industrial
0,ADBE,ai_chip
0,ADI,finance
0,AEP,real_estate
0,AFRM,software
0,AMAT,healthcare
0,AMD,software
0,AMZN,finance
0,ANET,utility
0,APH,consumer
0,APP,ai_chip
0,ASML,real_estate
0,ATI,industrial
0,AVGO,datacenter_hw
0,AXP,healthcare
0,BA,healthcare
0,BAC,giant_tech
0,BLK,software
0,BMY,industrial
0,BWXT,benchmark
0,C,datacenter_hw
0,CAT,finance
0,CME,industrial
0,CMG,industrial
0,COHR,industrial
0,COIN,industrial
0,COST,utility
0,CRM,software
0,CRWD,datacenter_hw
0,CRWV,consumer
0,CSCO,consumer
0,CVS,industrial
0,CVX,industrial
0,D,ai_chip
0,DDOG,consumer
0,DE,giant_tech
0,DELL,energy
0,DLR,industrial
0,DOCU,energy
0,DUK,giant_tech
0,EME,healthcare
0,EMR,giant_tech
0,EOG,software
0,EQIX,defensive_bonds
0,ESTC,healthcare
0,ETN,software
0,FDX,software
0,FTNT,software
0,GE,datacenter_hw
0,GILD,commodity
0,GLD,consumer
0,GLW,energy
0,GM,finance
0,GOOG,datacenter_hw
0,GRMN,industrial
0,GS,industrial
0,GTLB,datacenter_hw
0,HD,industrial
0,HLT,healthcare
0,HON,industrial
0,HOOD,ai_chip
0,HPE,industrial
0,HUBS,datacenter_hw
0,IBM,utility
0,INTC,consumer
0,INTU,software
0,JNJ,software
0,JPM,datacenter_hw
0,KLAC,energy
0,KMI,utility
0,KO,giant_tech
0,LHX,utility
0,LITE,finance
0,LLY,healthcare
0,LMT,industrial
0,LOW,healthcare
0,LRCX,ai_chip
0,MA,consumer
0,MCD,ai_chip
0,MCHP,giant_tech
0,MDB,software
0,MDT,utility
0,META,ai_chip
0,MMM,consumer
0,MO,consumer
0,MPWR,finance
0,MRK,finance
0,MRVL,consumer
0,MS,software
0,MSFT,ai_chip
0,MU,ai_chip
0,NEE,finance
0,NEM,finance
0,NET,ai_chip
0,NFLX,datacenter_hw
0,NOW,software
0,NVDA,software
0,NVO,ai_chip
0,NVTS,software
0,NXPI,finance
0,OKTA,software
0,ON,healthcare
0,ORCL,finance
0,OXY,ai_chip
0,PANW,healthcare
0,PCTY,ai_chip
0,PG,finance
0,PGR,consumer
0,PH,consumer
0,PLTR,software
0,PM,finance
0,PNC,finance
0,PYPL,telecom
0,QCOM,consumer
0,RBLX,industrial
0,RKLB,giant_tech
0,ROST,industrial
0,RTX,energy
0,SCHW,datacenter_hw
0,SHOP,real_estate
0,SMCI,software
0,SNOW,ai_chip
0,SO,software
0,SOFI,finance
0,SPCX,commodity
0,SPG,software
0,SPOT,finance
0,SPY,industrial
0,T,healthcare
0,TEAM,software
0,TJX,datacenter_hw
0,TLT,finance
0,TMO,ai_chip
0,TSLA,healthcare
0,TSM,finance
0,TXN,industrial
0,UNH,consumer
0,UNP,ai_chip
